review_text,review_status
"Bridget Jones, modern day woman, brillant and doesn't know it, prone to accidents and mess ups but manages to come out of them.  ",positive
"I am ordering copies for all 23 middle school principals and the two assistant principals leading two middle school programs in the Milwaukee Public Schools system. We will use Wheatley's book as the primary resource  for our professional growth at our MPS Middle School Principals  Collaborative institute August 9-11, 1999. We are not just concerned with  reform; we seek renewal as well. Wheatley provides the basis. She notes  that Einstein said that  a problem cannot be solved from the same  consciousness that created it. The entire book is a marvelous exploration  of this philosophy",positive
"As a casual piano player and a Broadway fanatic, I was so jazzed to play some of the songs from Avenue Q. The book contains everything you find on the CD and includes a few production photos.",positive
"This is one of the best biographies I have ever read. You can tell the authors put a lot of time and effort into this work - it's a true labor of love. Filled with beautiful photos and extensive bibliographical notes, this one is a keeper. Who knew Miss Francis was such a ""wild child""? Whether you're a film scholar or a movie buff, Lynn Kear's book deserves a special spot in your bookcase.",positive
"I read this book many, many years ago on a very long flight.  I couldn't put it down.  The philosophy is simple; live frugally, save/invest money every month, and you too can be a millionaire.  It's great advice, especially in this day and age when the younger generation wants the big house, expensive car, and everything else right NOW, with no regard to the future.  Although some of the info is dated (Enron being named as a great company to invest), and some other advice (putting new soles on old shoes) is a bit much, the general message makes plenty of sense.",positive
"This book was someone else's bookclub selection, and I think having no expectations when I picked it up really helped in my having that WOW experience that some folks report with this book and others miss. Yes, the prose needed much better editing: overuse of repetition, ""stock"" phrases, and ""hanging"" assertions that should have been cleaned up.  However, I found the discussions of brain development/evolution, similarities between certain animal behaviors and human behaviors, development of language in different animals, and the coevolution of humans and dogs to be facinating (oops, just gave away the ending!).  I found the side discussion of outcome-based audits interesting and enlightening.  I also liked Dr. Temple's recommendation that people with autism be hired for baggage checking positions.  Great idea! Although the book really goes all over the place, I found it a wonderful opportunity to engage my ""seeking/hunting"" motivation (you'll have to read the book for that one), and worth wading through the flaws to pick up the nuggets of gold",positive
I have been studing leadership for over 15 years both by reading and experience.  I consider this book to be the best book I have read because it describes leadership as a learned activity.  It also says that leadership is in motivating people to do their own work in solving difficult problems. I found that as President of my congregation I was continually going back to the concepts in the book to lead it through a very difficult situation involving placement of the flags in the sanctuary.  It was very difficult to get people to do their own work and not try to step in to solve everything. (That would have been impossible anyway) I found that he described President Lyndon Johnson as a successful leader (civil rights) and unsuccessful leader ( Vietnam).  His discussion on leading without authority is new ground for me.    If you want to discuss the book with others there is an on-line book study at the Work and Worship Institute website. I found it was a good way for me to get more from the book. This is a great book with great stories of a variety of leaders in our society. ,positive
The best book on the history of World War II that I've read in a long time. ,positive
*** REFERS TO CD RECORDING ****,positive
Zadie Smith is one of the most powerful authors I have read in recent times. She is so subtle about the race factor that we don't get to find out the races of the protagonists till the first 50 pages or so. She has also captured the emotions of Kiki and Zora perfectly (why is it that women always stand out in emotional moments!) and the characters stay with you even after you put the book down.,positive
"I've been very critical of the fiction work of John Grisham in recent years and have said many times that he needed to take more time to write his novels to make the stories more interesting.  Well, he has taken time off of writing novels to write this interesting, if not spectacular non-fiction work of the trials and tribulations of Ronald Williamson, a former minor league baseball player implicated in a murder and sentenced to death row.  I won't go into the details of Williamson's ordeal, but I will say that Grisham has written a pretty cut-and-dried book, that probably would have been handled better by career crime writers, but is still interesting nonetheless.  He does a good job giving the details of Ron's case and what he and his family had to go through as events unfolded and Ron suffered from growing mental issues.  Grisham didn't even think about writing Ron's story until after Ron passed away, so there are no interviews to draw upon, but he does a decent job of tying it all together.  I will also say that although he is anti-death penalty, he doesn't hammer that opinion at you.  He lets the story itself do the talking.",positive
"Zig Ziglar has done it again. As an author myself of sales books,  I realize sales is about so much more than just having the 'gift of gab,' and fast talking. It's about asking the right questions and listening to the right answers. It's about not just being a consultant to others, but being a consultant to yourself. It's recognizing you are in the most honorable profession there is. Zig's theories exemplify this.",positive
"A quick search in Amazon books under the name ""Benjamin Franklin"" comes up with 2403 matches. Based upon that criteria, many people would say that everything that could be said or that needs to be said about Ben Franklin has been said.  Those people would be emphatically wrong, as has been proven by author and historian H.W. Brands in his work on Franklin, THE FIRST AMERICAN: THE LIFE AND TIMES OF BENJAMIN FRANKLIN. Brands expertly brings this pivotal figure in American history, back to life, once more, in this book which was a Pulitzer finalist in 2002.",positive
"I didn't discover the delight that is the Artemis Fowl series until a week ago, when I read ARTEMIS FOWL in one day.  So, of course, I had to pick up a copy of THE ARCTIC INCIDENT right away, to see if it was as good as the first.  It definitely is, and in my own humble opinion, I think I liked it even better than the first book.  There are points throughout the book where Artemis, now thirteen, shows a softer, more vulnerable side that I truly enjoyed.  Don't get me wrong, he's still an evil genius, but he's an evil genius with heart, and you can't help but love him.",positive
"   While I am only a high school Sophmore, and I don't have a *real* job, this book has been very helpful in deciding what to shoot for doing. I've heard people call this book too vague, but they can't tell you exactly what to do; it doesn't work that way. Once you get through the personality quiz portion, the author gives a somewhat detailed description of your specific personality type (I for example am and ENFP) and throws in suggestions in the description and also give a modest list of other possibilities. I'll admit it was a bit vauger than I had hoped but it gives you plenty of room to move around and a great place to start. ",positive
"Beautiful, stunning absolutely gorgeous.",positive
I loved this book. The food was really good and fast (which is good because I have a very packed schedule). Also great if you're on a budget. The recipes have variations so I could eat different things but not have to buy a whole new set of ingrediants.,positive
"The NY Times Book Review linked this novel to the aftermath of 9-11, but that may have more to do with the preoccupation of New Yorkers than with the story Powers wrote. While he does refer to 9-11 early on, this book concerns environmentalism and species conservation versus wrong-headed economic development in the Great Plains at the western edge of the midwestern farming belt. It is about the struggle not to loose even more economic ground relative to the rest of America in a region that is being slowly drained of its population due to the changing scale of agricultural operations. But since it is a Richard Powers novel, it is also about much more: neuro-physiology, brain function as reflected in behavior and personality, the devotion of a 30ish sister to her less-able younger brother, her sexual relations with two very different men, and a nationally-known writer (clearly modeled on Oliver Sachs) who has a late mid-life crisis. It is about love, devotion, and doing as much of the right thing as one can do. It involves escape and return. ",positive
I must say my first reaction was to be surprised at how much better Hawking is at explaining modern physics than my college instructors were.  Heisenberg's uncertainty principle was just an equation I learned.  Hawking made it seem like common sense.,positive
The journal format is a unique take on the genre and I especially like the detailed attention given to gear and survival.  The author obviously knows his stuff.  What's also impressive is that this novel is self published.  I'm surprised someone hasn't taken notice and offered J.L. Bourne a deal.  He's good,positive
